Date,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
2017-01-11,148500.0,38280.0,52000.0,777.7570190429688,1195.5999755859375
2017-01-12,148000.0,38800.0,53300.0,804.833984375,1198.9000244140625
2017-01-13,149000.0,37460.0,52900.0,823.9840087890625,1195.300048828125
2017-01-14,,,,818.4119873046875,
2017-01-15,,,,821.7979736328125,
2017-01-16,150500.0,36660.0,52800.0,831.5339965820312,
2017-01-17,153500.0,36960.0,52400.0,907.93798828125,1212.0
2017-01-18,154000.0,36940.0,53700.0,886.6179809570312,1211.300048828125
2017-01-19,152000.0,37480.0,54500.0,899.072998046875,1200.9000244140625
2017-01-20,153000.0,37200.0,54100.0,895.0260009765625,1204.300048828125
2017-01-21,,,,921.7890014648438,
2017-01-22,,,,924.6729736328124,
2017-01-23,149000.0,38060.0,53400.0,921.0120239257812,1215.0
2017-01-24,146500.0,38160.0,54100.0,892.68701171875,1210.300048828125
2017-01-25,142000.0,39400.0,54200.0,901.5419921875,1197.300048828125
2017-01-26,142500.0,39900.0,53200.0,917.5859985351562,1189.5
2017-01-27,,,,919.75,1188.0999755859375
2017-01-28,,,,921.5900268554688,
2017-01-29,,,,919.4959716796876,
2017-01-30,,,,920.3820190429688,1193.199951171875
2017-01-31,139500.0,39460.0,55400.0,970.4030151367188,1208.5999755859375
2017-02-01,139500.0,39120.0,57900.0,989.0230102539062,1205.5999755859375
2017-02-02,136000.0,39360.0,58300.0,1011.7999877929688,1216.699951171875
2017-02-03,137500.0,39460.0,58200.0,1029.9100341796875,1218.5
2017-02-04,,,,1042.9000244140625,
2017-02-05,,,,1027.3399658203125,
2017-02-06,136500.0,39560.0,58600.0,1038.1500244140625,1230.0
2017-02-07,139000.0,38820.0,58800.0,1061.3499755859375,1234.199951171875
2017-02-08,139000.0,38400.0,60400.0,1063.0699462890625,1237.5999755859375
2017-02-09,140000.0,38400.0,61500.0,994.3829956054688,1235.0999755859375
2017-02-10,141000.0,38360.0,61300.0,988.6740112304688,1234.4000244140625
2017-02-11,,,,1004.4500122070312,
2017-02-12,,,,999.1810302734376,
2017-02-13,139500.0,37960.0,60700.0,990.6420288085938,1224.4000244140625
2017-02-14,140000.0,37580.0,61600.0,1004.5499877929688,1223.9000244140625
2017-02-15,145500.0,37720.0,62200.0,1007.47998046875,1231.699951171875
2017-02-16,150500.0,38020.0,62700.0,1027.43994140625,1240.0
2017-02-17,150500.0,37860.0,61400.0,1046.2099609375,1237.5999755859375
2017-02-18,,,,1054.4200439453125,
2017-02-19,,,,1047.8699951171875,
2017-02-20,150000.0,38660.0,62000.0,1079.97998046875,
2017-02-21,151000.0,38940.0,62100.0,1115.300048828125,1237.5
2017-02-22,149500.0,39300.0,62900.0,1117.43994140625,1232.0
2017-02-23,146000.0,39180.0,63100.0,1166.719970703125,1250.199951171875
2017-02-24,148000.0,38220.0,62700.0,1173.6800537109375,1256.9000244140625
2017-02-25,,,,1143.8399658203125,
2017-02-26,,,,1165.199951171875,
2017-02-27,148500.0,38060.0,59000.0,1179.969970703125,1257.4000244140625
2017-02-28,149500.0,38440.0,59800.0,1179.969970703125,1252.5999755859375
2017-03-01,,,,1222.5,1248.9000244140625
2017-03-02,148500.0,39720.0,61600.0,1251.010009765625,1231.9000244140625
2017-03-03,142000.0,39620.0,62200.0,1274.989990234375,1225.5
2017-03-04,,,,1255.1500244140625,
2017-03-05,,,,1267.1199951171875,
2017-03-06,145000.0,40080.0,60300.0,1272.8299560546875,1224.5
2017-03-07,144000.0,40200.0,63300.0,1223.5400390625,1215.0999755859375
2017-03-08,144500.0,40200.0,64900.0,1150.0,1208.5
2017-03-09,145000.0,40200.0,64800.0,1188.489990234375,1202.4000244140625
2017-03-10,146000.0,40180.0,64100.0,1116.719970703125,1200.699951171875
2017-03-11,,,,1175.8299560546875,
2017-03-12,,,,1221.3800048828125,
2017-03-13,146000.0,40600.0,65300.0,1231.9200439453125,1202.4000244140625
2017-03-14,149000.0,41360.0,67100.0,1240.0,1201.9000244140625
2017-03-15,149500.0,41400.0,67800.0,1249.6099853515625,1200.0999755859375
2017-03-16,151500.0,41840.0,68100.0,1187.81005859375,1226.5
2017-03-17,151500.0,42400.0,68900.0,1100.22998046875,1229.800048828125
2017-03-18,,,,973.8179931640624,
2017-03-19,,,,1036.739990234375,
2017-03-20,156500.0,41900.0,67200.0,1054.22998046875,1233.5999755859375
2017-03-21,170000.0,42560.0,66900.0,1120.5400390625,1246.0999755859375
2017-03-22,170000.0,42460.0,69200.0,1049.1400146484375,1249.300048828125
2017-03-23,165000.0,41800.0,72000.0,1038.5899658203125,1246.9000244140625
2017-03-24,164000.0,41500.0,72200.0,937.52001953125,1248.199951171875
2017-03-25,,,,972.7789916992188,
2017-03-26,,,,966.7249755859376,
2017-03-27,162000.0,41200.0,71300.0,1045.77001953125,1255.4000244140625
2017-03-28,160000.0,41480.0,70700.0,1047.1500244140625,1255.300048828125
2017-03-29,156000.0,41780.0,70100.0,1039.969970703125,1253.4000244140625
2017-03-30,158500.0,41980.0,68100.0,1026.4300537109375,1245.0
2017-03-31,157500.0,41200.0,67900.0,1071.7900390625,1247.300048828125
2017-04-01,,,,1080.5,
2017-04-02,,,,1102.1700439453125,
2017-04-03,156500.0,41440.0,68700.0,1143.81005859375,1250.800048828125
2017-04-04,152000.0,42080.0,68300.0,1133.25,1255.0
2017-04-05,150000.0,42140.0,67200.0,1124.780029296875,1245.4000244140625
2017-04-06,148000.0,41840.0,70600.0,1182.6800537109375,1250.300048828125
2017-04-07,144500.0,41600.0,70900.0,1176.9000244140625,1254.300048828125
2017-04-08,,,,1175.949951171875,
2017-04-09,,,,1187.8699951171875,
2017-04-10,146000.0,41940.0,67900.0,1187.1300048828125,1251.0999755859375
2017-04-11,142500.0,41600.0,69500.0,1205.010009765625,1271.199951171875
2017-04-12,141500.0,41900.0,69100.0,1200.3699951171875,1275.300048828125
2017-04-13,142500.0,42420.0,69500.0,1169.280029296875,1285.9000244140625
2017-04-14,142500.0,42020.0,68300.0,1167.5400390625,
2017-04-15,,,,1172.52001953125,
2017-04-16,,,,1182.93994140625,
2017-04-17,144000.0,41560.0,69600.0,1193.9100341796875,1289.4000244140625
2017-04-18,141000.0,41500.0,70000.0,1211.6700439453125,1291.699951171875
2017-04-19,137000.0,40900.0,70700.0,1210.2900390625,1281.4000244140625
